fid,date,x,y
118,2021/08/19 11:59:53,28.2379285045503,-25.7489739895174
119,2021/08/19 11:54:04,28.2373456287502,-25.7488765781874
120,2021/08/19 11:52:05,28.2373135807651,-25.7481194103084
121,2021/08/19 11:48:31,28.2374689577174,-25.7467106381219
122,2021/08/19 12:04:28,28.2383816060496,-25.7488123545064
123,2021/08/19 12:02:55,28.2397453678353,-25.74872473067
124,2021/08/19 12:02:17,28.2390377178418,-25.7487823842014
125,2021/08/19 12:01:58,28.2388154885994,-25.7489122766617
126,2021/08/19 11:42:09,28.2350617627767,-25.747548343116
127,2021/08/19 11:46:04,28.236292438311,-25.7474477347087
128,2021/08/19 11:47:32,28.2371578724908,-25.7474077117178
129,2021/08/19 11:44:42,28.2354955339291,-25.7475216102931
130,2021/08/19 11:45:19,28.2359387895093,-25.7474667379949
131,2021/08/19 10:36:55,28.2397650034437,-25.748854452116
132,2021/08/19 10:22:01,28.2380276142837,-25.7460396186491
133,2021/08/19 10:44:41,28.2387054725473,-25.7502870380345
134,2021/08/19 11:29:17,28.2355480947316,-25.7490607905384
135,2021/08/19 10:46:27,28.2377265947808,-25.7503179457549
136,2021/08/19 11:32:33,28.2349268347498,-25.7485976153253
137,2021/08/19 11:30:50,28.23497768586,-25.7490519421902
138,2021/08/19 10:09:41,28.2333240797817,-25.7463463852095
139,2021/08/19 10:19:43,28.2371109375825,-25.7459995204814
140,2021/08/19 12:03:16,28.2385808862497,-25.7488184580986
141,2021/08/19 12:03:54,28.2392522433577,-25.7487579564801
142,2021/08/19 11:35:47,28.2348375795845,-25.7475849980994
143,2021/08/19 11:55:36,28.2374291511354,-25.7493896833953
144,2021/08/19 12:04:35,28.239574944382,-25.7487546528142
145,2021/08/19 12:05:24,28.2394359145724,-25.7488713481882
146,2021/08/24 09:34:35,28.24009014,-25.74774447
147,2021/08/24 09:59:55,28.2424239306035,-25.7490935810301
148,2021/08/24 09:50:35,28.2448699271361,-25.7492041881091
149,2021/08/24 10:05:33,28.2419004683566,-25.7473290949054
150,2021/08/24 09:40:47,28.2411284690714,-25.7486044522032
151,2021/08/24 09:29:48,28.24075166939,-25.7486590887711
152,2021/08/24 09:59:18,28.2443336218513,-25.7469218375691
153,2021/08/24 09:42:09,28.2415839679044,-25.7485577602686
154,2021/08/24 10:12:05,28.2422613710616,-25.7481916026384
155,2021/08/24 09:50:42,28.2448183000351,-25.7492304314073
156,2021/08/24 09:59:45,28.2424882169138,-25.7491108080801
157,2021/08/24 10:12:01,28.2422590403183,-25.748232481298
158,2021/08/24 09:35:17,28.2326591078651,-25.7520968558475
159,2021/08/24 09:33:58,28.2334985372728,-25.7523002610231
160,2021/08/24 09:45:43,28.2295318660217,-25.7510290104097
161,2021/08/24 09:42:17,28.2313361694304,-25.7509837303081
162,2021/08/24 09:23:37,28.235343307957,-25.7529693281585
163,2021/08/24 09:26:21,28.2350374961889,-25.7520643926711
164,2021/08/24 09:31:56,28.2339591583751,-25.7520594096695
165,2021/08/24 09:32:56,28.2338375263655,-25.7522796241008
166,2021/08/24 09:17:04,28.2333565563658,-25.7537982817378
167,2021/08/24 09:21:47,28.2351797625044,-25.7535782168773
168,2021/08/24 09:21:52,28.2351710573846,-25.7535190520526
169,2021/08/24 09:22:29,28.2353403331246,-25.7534162722803
170,2021/08/24 10:08:20,28.2291257073022,-25.7523982680848
171,2021/08/24 10:17:57,28.2307047483824,-25.7524204114613
172,2021/08/24 10:20:56,28.2301568628279,-25.7534714117033
173,2021/08/24 10:20:18,28.2322629325469,-25.7529847825054
174,2021/08/24 10:26:41,28.2302364243455,-25.7533968194014
175,2021/08/24 10:19:13,28.2320534684688,-25.7527375784706
176,2021/08/24 10:20:16,28.2321155424138,-25.7532305970725
177,2021/08/24 09:53:54,28.229741068605,-25.7495298936017
178,2021/08/24 09:58:13,28.231893789388,-25.748985647827
179,2021/08/24 09:38:42,28.2312901485218,-25.7479693203794
180,2021/08/24 09:49:24,28.2279326483969,-25.749524520366
181,2021/08/24 09:28:49,28.2277057325201,-25.7466199763463
182,2021/08/24 09:37:06,28.2307099729395,-25.7478530294455
183,2021/08/24 09:24:55,28.2293488474683,-25.7465052991656
184,2021/08/24 09:24:46,28.2294011930265,-25.7465024588681
185,2021/08/24 09:26:38,28.2283747285428,-25.746573448023
186,2021/08/24 09:25:57,28.2288246383898,-25.7465411703911
187,2021/08/24 09:22:21,28.2304445810183,-25.7463987666455
188,2021/08/24 09:21:30,28.2309684816139,-25.7463972840599
189,2021/08/24 09:23:30,28.2298223949966,-25.7464696763028
190,2021/08/24 09:23:19,28.2298602351592,-25.7464645637656
191,2021/08/24 09:18:51,28.2318799505001,-25.7464333717197
192,2021/08/24 09:19:31,28.2317513959976,-25.7463512274301
193,2021/08/24 09:20:12,28.2316122049128,-25.7464435017962
194,2021/08/24 09:21:06,28.2310823101639,-25.7463839782965
195,2021/08/24 09:12:43,28.2324558878974,-25.748519278084
196,2021/08/24 09:17:38,28.2322853419014,-25.7464061350705
197,2021/08/24 09:17:51,28.2322483497279,-25.746413114783
198,2021/08/24 09:18:40,28.2319168348766,-25.7464338396449
